date,open,high,low,close,stock_num,vol
2021-01-25,899.38,900.041,871.596,885.558,56,2717410694
2021-01-26,885.558,892.251,858.826,859.866,56,2841766757
2021-01-27,859.866,888.604,846.754,886.714,56,3228760910
2021-01-28,886.714,877.818,848.008,849.586,56,2107596397
2021-01-29,849.586,860.03,819.845,828.125,56,2565289022
2021-02-01,828.125,871.533,809.609,871.533,56,2535165792
2021-02-02,871.533,885.792,863.023,869.063,56,2102615289
2021-02-03,869.063,878.95,858.711,863.668,56,1525574037
2021-02-04,863.668,884.485,865.638,872.147,56,1152913681
2021-02-05,872.147,879.309,865.419,873.943,56,1479812034
2021-02-08,873.943,890.047,876.547,880.928,56,2166765904
2021-02-09,880.928,886.843,855.352,860.329,56,2178694598
2021-02-10,860.329,872.006,852.471,870.04,56,1178547616
2021-02-11,870.04,876.822,863.124,865.937,56,1048775123
2021-02-15,865.937,883.487,868.152,875.953,56,1152599227
2021-02-16,875.953,883.106,872.216,877.321,56,3051177198
2021-02-17,877.321,880.991,855.839,857.731,56,2324272736
2021-02-18,857.731,877.765,859.38,859.38,56,1380325091
2021-02-19,859.38,864.429,853.853,864.429,56,1169538940
2021-02-22,864.429,873.891,862.667,863.435,56,1536946066
2021-02-23,863.435,907.913,865.677,906.348,56,1972950193
2021-02-24,906.348,917.668,899.364,904.193,56,14170060593
2021-02-25,904.193,921.517,907.013,913.66,56,9165013876
2021-02-26,913.66,916.323,895.209,912.991,56,4601709198
2021-03-01,912.991,927.426,910.674,920.912,56,3961842195
2021-03-02,920.912,926.976,908.777,911.842,56,3521837061
2021-03-03,911.842,916.339,903.188,911.978,56,4014904265
2021-03-04,911.978,910.729,889.0,896.562,56,4717581099
2021-03-05,896.562,893.148,881.994,882.408,56,2282547206
2021-03-08,882.408,896.979,883.494,887.045,56,1926337328
2021-03-09,887.045,894.96,874.896,877.704,56,6622924377
2021-03-10,877.704,900.11,881.799,896.233,56,4114886625
2021-03-12,896.233,917.173,902.683,911.391,56,2650794643
2021-03-15,911.391,915.308,900.518,900.518,56,1651705535
2021-03-16,900.518,907.964,896.97,898.472,56,2953653165
2021-03-17,898.472,910.972,897.691,902.67,56,2356128013
2021-03-18,902.67,924.516,909.224,916.549,56,2949033118
2021-03-19,916.549,912.89,901.401,911.824,56,2081031249
2021-03-22,911.824,911.902,896.234,896.676,56,1360369219
2021-03-23,896.676,902.813,884.909,888.865,56,1645556163
2021-03-24,888.865,892.811,880.01,883.608,56,1486224263
2021-03-25,883.608,897.113,881.106,894.485,56,2264396243
2021-03-26,894.485,907.444,890.315,906.384,56,1249029319
2021-03-29,906.384,909.946,890.748,892.565,56,1989911769
2021-03-30,892.565,895.562,874.414,879.678,56,1730970979
2021-03-31,879.678,886.12,861.37,883.291,56,1342412998
2021-04-01,883.291,887.363,876.339,882.479,56,1111069059
2021-04-05,882.479,890.339,873.112,875.374,56,1360455874
2021-04-06,875.374,887.508,871.711,883.832,56,1548898083
2021-04-07,883.832,893.378,880.475,887.078,56,1014184939
2021-04-08,887.078,889.093,883.47,887.367,56,2821552152
2021-04-09,887.367,888.279,880.81,883.463,56,1189927021
2021-04-12,883.463,884.309,865.159,867.106,56,1420321043
2021-04-13,867.106,884.155,865.376,880.574,56,1513875238
2021-04-14,880.574,894.637,882.608,892.822,56,3229114427
2021-04-15,892.822,901.184,889.376,896.136,56,2155640011
2021-04-16,896.136,903.946,893.327,898.893,56,4304425198
2021-04-19,898.893,904.881,893.039,894.434,56,3737401473
2021-04-20,894.434,898.01,887.138,895.81,56,1428915271
2021-04-21,895.81,895.537,886.37,887.952,56,1400370211
2021-04-22,887.952,897.895,887.789,891.936,56,1919918791
2021-04-23,891.936,891.08,883.312,886.339,56,2145693542
2021-04-26,886.339,888.168,876.037,879.125,56,1333139550
2021-04-27,879.125,881.385,867.2,869.667,56,1290695951
2021-04-28,869.667,874.249,866.372,870.65,56,2238415625
2021-04-29,870.65,882.677,871.327,880.481,56,1011908783
2021-04-30,880.481,889.62,878.833,881.883,56,1892241535
2021-05-03,881.883,884.189,863.317,868.861,56,1194634897
2021-05-04,868.861,871.797,862.904,869.843,56,1223558273
2021-05-05,869.843,872.799,865.575,871.408,56,1728091130
2021-05-06,871.408,875.873,867.492,873.354,56,1193772621
2021-05-07,873.354,880.297,865.473,866.925,56,785058684
2021-05-10,866.925,875.97,865.981,871.124,56,926362800
2021-05-11,871.124,873.777,866.086,870.489,56,925676031
2021-05-17,870.489,874.538,849.694,855.975,56,2022570475
2021-05-18,855.975,862.272,849.591,860.301,56,1172618028
2021-05-19,860.301,866.505,849.727,854.227,56,1350286682
2021-05-20,854.227,886.64,857.115,884.009,56,2086867441
2021-05-21,884.009,891.389,872.724,878.749,56,1092272729
2021-05-22,878.749,933.677,905.019,931.376,56,5402451388
2021-05-24,878.749,890.045,872.398,878.524,56,1279580057
2021-05-25,878.524,890.976,878.816,889.646,56,1148948927
2021-05-27,889.646,908.003,893.349,903.523,56,3241858073
2021-05-28,903.523,909.653,879.273,882.169,56,1990121748
2021-05-31,882.169,916.953,887.507,913.083,56,2837943114
2021-06-02,913.083,935.051,920.404,932.803,56,1763662138
2021-06-03,932.803,943.262,929.228,943.262,56,2211128001
2021-06-04,943.262,945.603,931.094,942.918,56,1220037325
2021-06-07,942.918,957.188,944.44,950.564,56,1196142022
2021-06-08,950.564,950.625,931.058,938.183,56,1563750345
2021-06-09,938.183,934.193,913.993,932.972,56,1036031517
2021-06-10,932.972,947.376,926.602,941.368,56,1124855649
2021-06-11,941.368,945.677,930.807,934.945,56,883221870
2021-06-14,934.945,937.466,927.547,932.163,56,4234799611
2021-06-15,932.163,939.495,927.488,937.539,56,4432620943
2021-06-16,937.539,937.312,924.408,935.187,56,2925007990
2021-06-17,935.187,941.653,925.256,931.789,56,11945828747
2021-06-18,931.789,939.15,911.453,930.555,56,6304768311
2021-06-21,930.555,934.266,906.655,927.073,56,4018748487
2021-06-22,927.073,946.078,927.737,933.929,56,2881487585
2021-06-23,933.929,955.675,936.64,945.659,56,2676921513
2021-06-24,945.659,945.406,922.555,924.087,56,2098543312
2021-06-25,924.087,929.949,917.692,918.951,56,2201197770
2021-06-28,918.951,923.964,898.766,898.926,56,2234139250
2021-06-29,898.926,913.869,898.734,900.034,56,3668907269
2021-06-30,900.034,912.218,896.677,900.096,56,2830814406
2021-07-01,900.096,901.909,882.95,890.715,56,1887058491
2021-07-02,890.715,896.042,881.397,882.989,56,5429203991
2021-07-05,882.989,889.222,878.964,887.566,56,3876309950
2021-07-06,887.566,891.86,880.444,886.768,56,3172322519
2021-07-07,886.768,894.431,881.206,884.796,56,13106655225
2021-07-08,884.796,889.971,877.244,880.408,56,1842012538
2021-07-09,880.408,898.82,881.157,896.739,56,1567860004
2021-07-12,896.739,903.49,891.766,896.67,56,1757854643
2021-07-13,896.67,904.097,871.769,874.886,56,2144196857
2021-07-14,874.886,880.736,864.064,880.7,56,1691574134
2021-07-15,880.7,896.32,884.077,894.381,56,3291433972
2021-07-16,894.381,898.591,890.163,898.582,56,1257888822
2021-07-19,898.582,904.51,893.63,900.83,56,936704849
2021-07-21,900.83,906.523,898.055,901.51,56,1398074402
2021-07-22,901.51,909.419,900.537,907.955,56,1430883678
2021-07-23,907.955,909.595,895.964,900.163,56,2398810937
2021-07-26,900.163,922.289,896.731,920.336,56,2242592824
2021-07-27,920.336,928.591,906.236,923.052,56,2413129034
2021-07-28,923.052,921.477,902.871,909.384,56,1763741986
2021-07-29,909.384,931.986,911.617,925.905,56,4602692955
2021-07-30,925.905,939.208,922.283,931.565,56,4662423982
2021-08-02,931.565,941.006,923.761,940.768,56,4762941081
2021-08-03,940.768,952.193,941.809,944.156,56,3277397948
2021-08-04,944.156,950.735,940.111,947.386,56,3170043698
2021-08-05,947.386,947.607,934.682,935.706,56,3576190600
2021-08-06,935.706,943.598,932.408,935.318,56,2518836783
2021-08-09,935.318,937.826,915.539,920.934,56,2311036762
2021-08-10,920.934,924.819,901.999,910.51,56,2190543209
2021-08-12,910.51,935.267,913.2,935.267,56,3622163016
2021-08-13,935.267,942.324,918.297,925.0,56,2151179016
2021-08-16,925.0,925.511,910.886,919.916,56,2825837347
2021-08-18,919.916,931.516,916.904,924.195,56,4229052777
2021-08-19,924.195,924.44,906.175,913.636,56,3926488989
2021-08-20,913.636,932.456,907.016,928.51,56,5848216951
2021-08-23,928.51,944.422,932.336,944.422,56,3315034451
2021-08-24,944.422,946.335,918.202,930.884,56,3785241603
2021-08-25,930.884,931.02,922.991,930.114,56,3248656995
2021-08-26,930.114,931.111,914.324,919.363,56,5746239109
2021-08-27,919.363,921.544,909.319,910.567,56,1804272720
2021-08-30,910.567,932.911,916.302,932.911,56,2786725331
2021-08-31,932.911,936.837,925.135,936.755,56,2297699962
2021-09-01,936.755,939.764,919.893,921.76,56,2437248996
2021-09-02,921.76,931.522,921.57,925.389,56,1790744878
2021-09-03,925.389,933.431,925.609,932.013,56,1250551690
2021-09-06,932.013,943.387,932.551,941.054,56,2376297621
2021-09-07,941.054,947.839,932.873,938.592,56,1520053373
2021-09-08,938.592,941.815,920.189,925.377,56,2346151532
2021-09-09,925.377,939.115,922.007,939.115,56,2966001203
2021-09-10,939.115,942.035,928.725,931.586,56,1670213841
2021-09-13,931.586,933.415,922.805,933.201,56,1484043447
2021-09-14,933.201,954.475,934.509,952.699,56,2300647427
2021-09-15,952.699,960.018,948.832,956.749,56,1889359366
2021-09-16,956.749,961.714,949.774,957.472,56,3545575676
2021-09-17,957.472,968.567,947.04,968.567,56,5247978962
2021-09-20,968.567,966.092,957.363,960.782,56,2182732309
2021-09-21,960.782,968.173,950.172,962.597,56,1518557211
2021-09-22,962.597,972.896,962.083,972.896,56,1699924376
2021-09-23,972.896,976.208,962.636,965.418,56,1507095646
2021-09-24,965.418,967.575,953.314,958.257,56,1651023846
2021-09-27,958.257,959.66,944.461,951.367,56,1497814714
2021-09-28,951.367,952.11,945.223,947.257,56,1969682376
2021-09-29,947.257,953.165,938.86,953.165,56,1811157911
2021-09-30,953.165,975.863,951.373,975.863,56,1497000687
2021-10-01,975.863,980.222,968.451,976.005,56,3406665016
2021-10-04,976.005,984.007,973.528,982.792,56,2355895312
2021-10-05,982.792,982.14,951.639,958.234,56,3538571761
2021-10-06,958.234,972.695,954.584,966.8,56,6128140066
2021-10-07,966.8,975.774,957.563,963.641,56,2523456878
2021-10-08,963.641,977.927,966.016,974.572,56,6067990881
2021-10-11,974.572,979.037,970.681,972.565,56,2933011351
2021-10-12,972.565,992.314,970.381,979.801,56,2684320304
2021-10-13,979.801,984.631,973.462,976.857,56,2103837304
2021-10-14,976.857,986.674,976.018,983.139,56,1648970185
2021-10-15,983.139,989.922,980.527,988.992,56,1692728939
2021-10-18,988.992,994.22,983.396,988.032,56,2082565357
2021-10-19,988.032,992.659,980.203,985.351,56,2024498722
2021-10-21,985.351,992.647,972.957,979.678,56,2925590771
2021-10-22,979.678,997.787,970.618,991.097,56,2266291402
2021-10-25,991.097,999.823,983.768,985.635,56,3582806070
2021-10-26,985.635,991.871,981.549,984.883,56,3567364320
2021-10-27,984.883,985.959,973.989,979.852,56,3641244612
2021-10-28,979.852,982.925,967.414,972.074,56,2619096332
2021-10-29,972.074,989.021,974.187,986.629,56,7131156938
2021-11-01,986.629,991.415,979.238,979.693,56,3297304553
2021-11-02,979.693,984.466,965.309,967.84,56,2568765281
2021-11-03,967.84,975.22,963.664,972.949,56,2497865297
2021-11-04,972.949,984.531,973.266,978.903,56,1874734803
2021-11-05,978.903,983.563,974.849,982.451,56,1526224686
2021-11-08,982.451,989.525,974.522,989.525,56,1791786356
2021-11-09,989.525,994.147,984.691,991.519,56,2383563041
2021-11-10,991.519,998.98,988.824,996.338,56,4354799956
2021-11-11,996.338,997.526,986.794,987.422,56,1500475173
2021-11-12,987.422,991.831,982.619,984.423,56,3159806826
2021-11-15,984.423,988.036,968.423,973.254,56,2690648758
2021-11-16,973.254,984.858,969.081,979.289,56,4676144305
2021-11-17,979.289,982.823,973.055,979.623,56,4714917191
2021-11-18,979.623,980.177,969.188,971.603,56,2538466966
